name,url
3x3 Memory,memory_3x3
3X3 Memory Colour,memory_3x3_colo
4x4 Memory,memory_4x4
4X4 Colour Memory,memory_4x4_colo
5x5 Memory,memory_5x5
5x5 Memory Colour,memory_5x5_colo
6x6 Memory,memory_6x6
6x6 Memory Color,memory_6x6_colo
Simon Game,simon_game
Brain Test Game,brain_test
Missing Symbol Game,missingsymbol
I Went To Zoo,iwenttozoo
Trivia Game,trivia
I Went to Restaurent,iwenttorestaurent
Color Matching Game,color_matching_game
Keep Track of the Count,keep_track_of_the_count
Remember the color position,remember_the_color_position
Which Side is Heavy,which_side_is_heavy